timeline,latitude,longitude,id,icao_24bit,heading,altitude,ground_speed,aircraft_code,registration,time,origin_airport_iata,destination_airport_iata,number,airline_iata,on_ground,vertical_speed,callsign,airline_icao,origin_airport_name,origin_airport_coordinates,destination_airport_name,destination_airport_coordinates,airline_name,aircraft_name,manufacturer
2024-05-31 00:08:02,37.7187,-122.2175,3570f2ca,AAA39A,90,0,0,B752,N785FD,1717106875,BOI,OAK,FX1813,FX,1,0,FDX1813,FDX,Boise Air Terminal/Gowen Field,"43.5644, -116.223",Metropolitan Oakland International Airport,"37.721298, -122.221001",Fedex,Boeing 757-200,Boeing
2024-05-31 00:08:02,39.7051,-86.2923,35711bed,A0F99E,322,0,0,B763,N162FE,1717106874,CLT,IND,FX1635,FX,1,0,FDX1635,FDX,Charlotte Douglas International Airport,"35.2140007019043, -80.94309997558594",Indianapolis International Airport,"39.7173, -86.294403",Fedex,Boeing 767-300,Boeing
2024-05-31 00:08:02,40.7964,-73.8939,357164dc,76CCE2,122,15225,323,A359,9V-SGB,1717106879,SIN,JFK,SQ24,SQ,0,-1408,SIA24,SIA,Singapore Changi Airport,"1.35019, 103.994003",John F Kennedy International Airport,"40.639447, -73.779317",Singapore Airlines,Airbus A350-900,Airbus
2024-05-31 00:08:02,-34.0312,152.0329,357193ab,7C4926,277,15725,286,A388,VH-OQG,1717106878,LAX,SYD,QF12,QF,0,-1536,QFA12,QFA,Los Angeles / Tom Bradley International Airport,"33.942501, -118.407997",Sydney Kingsford Smith International Airport,"-33.94609832763672, 151.177001953125",Qantas,Airbus A380-800,Airbus
2024-05-31 00:08:02,29.9829,-95.3324,35719651,8964E2,270,0,8,A388,A6-EVK,1717106878,DXB,IAH,EK211,EK,1,0,UAE1Y,UAE,Dubai International Airport,"25.2527999878, 55.3643989563",George Bush Intercontinental Houston Airport,"29.984399795532227, -95.34140014648438",Emirates,Airbus A380-800,Airbus
2024-05-31 00:08:02,34.8068,114.8763,35719997,7805AA,184,38100,472,B77L,B-2075,1717106871,JFK,CAN,CSG2544,CS,0,0,CSG2544,CSG,John F Kennedy International Airport,"40.639447, -73.779317",Guangzhou Baiyun International Airport,"23.392401, 113.299004",Comlux Aruba,Boeing 777-200LR,Boeing
2024-05-31 00:08:02,1.3458,103.9872,35719c0e,A31A56,25,0,11,B789,N29977,1717106875,SFO,SIN,UA1,UA,1,0,UAL1,UAL,San Francisco International Airport,"37.61899948120117, -122.375",Singapore Changi Airport,"1.35019, 103.994003",United Airlines,Boeing 787-9,Boeing
2024-05-31 00:08:02,33.6381,-84.4194,35719c96,A67F8A,272,0,0,A359,N518DZ,1717106876,ICN,ATL,DL188,DL,1,0,DAL188,DAL,Incheon International Airport,"37.46910095214844, 126.45099639892578",Hartsfield Jackson Atlanta International Airport,"33.6367, -84.428101",Delta Air Lines,Airbus A350-900,Airbus
2024-05-31 00:08:02,34.0905,-117.4276,3571a2cb,710110,253,13950,347,B77W,HZ-AK38,1717106879,JED,LAX,SV41,SV,0,-1728,SVA041,SVA,King Abdulaziz International Airport,"21.6796, 39.156502",Los Angeles / Tom Bradley International Airport,"33.942501, -118.407997",Saudia,Boeing 777-300ER,Boeing
2024-05-31 00:08:02,39.6668,116.9359,3571a361,780D2A,353,10925,265,B748,B-2482,1717106862,JFK,PEK,CA982,CA,0,-768,CCA982,CCA,John F Kennedy International Airport,"40.639447, -73.779317",Beijing Capital International Airport,"40.080101013183594, 116.58499908447266",Air China,Boeing 747-8,Boeing
